City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,remire-montjoly,4.9167,-52.2667,29.02,74,75,1.54,GF,1697492878
1,muhos,64.808,25.9931,2.88,86,100,4.07,FI,1697492878
2,grytviken,-54.2811,-36.5092,-0.61,84,13,4.27,GS,1697492878
3,vilyuchinsk,52.9306,158.4028,8.15,92,100,10.27,RU,1697492878
4,polyarnyy,69.1989,33.4478,3.3,78,100,13.08,RU,1697492879
5,port-aux-francais,-49.35,70.2167,2.99,88,87,12.57,TF,1697492594
6,waitangi,-43.9535,-176.5597,12.74,86,58,14.9,NZ,1697492879
7,vorgashor,67.5833,63.95,1.43,97,100,4.08,RU,1697492879
8,jalai nur,49.45,117.7,3.27,49,6,4.13,CN,1697492879
9,corinto,37.9407,22.9573,20.5,73,75,2.51,GR,1697492612
10,sandnessjoen,66.0217,12.6316,5.23,81,75,3.6,NO,1697492599
11,papatowai,-46.5619,169.4708,9.23,53,74,4.5,NZ,1697492590
12,la'ie,21.6477,-157.9253,29.98,73,84,1.79,US,1697492880
13,jamestown,42.097,-79.2353,10.77,96,100,3.09,US,1697492880
14,bethel,41.3712,-73.414,15.46,72,63,0.45,US,1697492654
15,ushuaia,-54.8,-68.3,8.81,51,75,6.17,AR,1697492881
16,lihue,21.9789,-159.3672,28.77,70,20,5.14,US,1697492881
17,yellowknife,62.456,-114.3525,6.9,99,100,5.14,CA,1697492881
18,puerto natales,-51.7236,-72.4875,11.25,50,40,14.92,CL,1697492881
19,weno,7.4515,151.8468,26.97,94,75,0.0,FM,1697492881
20,stanley,54.868,-1.6985,2.1,100,0,0.0,GB,1697492588
21,edinburgh of the seven seas,-37.0676,-12.3116,12.21,69,7,2.21,SH,1697492882
22,invercargill,-46.4,168.35,10.57,74,63,3.13,NZ,1697492860
23,thompson,55.7435,-97.8558,12.09,62,75,4.12,CA,1697492882
24,santa cecilia,-26.9608,-50.4269,16.53,99,100,1.21,BR,1697492882
25,port lincoln,-34.7333,135.8667,13.44,68,5,5.5,AU,1697492883
26,bredasdorp,-34.5322,20.0403,15.29,87,19,4.12,ZA,1697492883
27,al jawf,29.5,38.75,19.43,41,0,3.51,SA,1697492883
28,blackmans bay,-43.0167,147.3167,8.74,72,12,0.45,AU,1697492883
29,taunggyi,20.7833,97.0333,15.02,93,61,0.51,MM,1697492883
30,berezovyy,51.6667,135.7,1.82,97,99,1.32,RU,1697492884
31,bay roberts,47.5999,-53.2648,9.63,92,100,3.58,CA,1697492630
32,ancud,-41.8697,-73.8203,10.92,70,15,1.78,CL,1697492595
33,isafjordur,66.0755,-23.124,0.59,83,100,2.73,IS,1697492884
34,sechura,-5.5569,-80.8222,24.59,66,89,7.22,PE,1697492884
35,chibougamau,49.9168,-74.3659,8.79,66,0,3.6,CA,1697492839
36,adamstown,-25.066,-130.1015,21.91,82,51,4.11,PN,1697492885
37,atafu village,-8.5421,-172.5159,28.37,77,59,7.97,TK,1697492619
38,soderhamn,61.3037,17.0592,1.09,69,94,2.49,SE,1697492885
39,hithadhoo,-0.6,73.0833,27.28,73,19,7.39,MV,1697492608
40,tecate,32.5667,-116.6333,32.94,24,0,4.74,MX,1697492886
41,iqaluit,63.7506,-68.5145,-5.15,73,20,4.63,CA,1697492886
42,vila franca do campo,37.7167,-25.4333,20.49,99,97,5.57,PT,1697492614
43,el calafate,-50.3408,-72.2768,8.54,61,97,4.78,AR,1697492886
44,apen,53.2167,7.8,9.01,82,100,0.75,DE,1697492887
45,la ronge,55.1001,-105.2842,16.14,44,0,3.6,CA,1697492887
46,piti village,13.4626,144.6933,28.03,85,40,2.06,GU,1697492887
47,lebu,-37.6167,-73.65,11.21,77,0,10.42,CL,1697492887
48,bilibino,68.0546,166.4372,-10.58,99,99,1.0,RU,1697492887
49,nishinoomote,30.7333,131.0,21.95,65,5,7.78,JP,1697492888
50,hawaiian paradise park,19.5933,-154.9731,28.73,78,20,3.6,US,1697492888
51,ciudad lazaro cardenas,17.9583,-102.2,29.13,75,71,2.52,MX,1697492888
52,sungjibaegam,41.2428,128.7989,-2.37,44,0,2.44,KP,1697492888
53,dwarka,22.2394,68.9678,26.66,74,0,4.1,IN,1697492889
54,howrah,22.5892,88.3103,26.0,89,20,0.0,IN,1697492889
55,klyuchi,52.2667,79.1667,9.92,62,100,4.18,RU,1697492889
56,tiksi,71.6872,128.8694,-13.7,94,93,3.36,RU,1697492889
57,nagaur,27.2,73.7333,22.87,62,39,3.78,IN,1697492889
58,nema,57.5067,50.5011,9.16,58,26,5.88,RU,1697492890
59,verkh-chebula,56.0308,87.6218,7.06,83,100,9.65,RU,1697492890
60,aasiaat,68.7098,-52.8699,-9.64,98,100,3.42,GL,1697492600
61,ribeira brava,32.65,-17.0667,25.35,72,23,6.14,PT,1697492620
62,fort st. john,56.2499,-120.8529,9.94,71,100,2.06,CA,1697492807
63,mount pearl,47.5166,-52.7813,8.97,98,100,10.8,CA,1697492593
64,khonsa,27.0167,95.5667,16.39,85,20,1.55,IN,1697492891
65,namtsy,62.7161,129.6658,-3.87,61,100,4.43,RU,1697492891
66,college,64.8569,-147.8028,8.28,74,75,3.09,US,1697492891
67,margaret river,-33.95,115.0667,16.04,65,71,3.75,AU,1697492891
68,albany,42.6001,-73.9662,13.98,77,73,2.64,US,1697492891
69,tafresh,34.692,50.013,12.84,53,14,4.0,IR,1697492892
70,qaqortoq,60.7167,-46.0333,1.69,93,100,1.56,GL,1697492892
71,terra santa,-2.1042,-56.4869,31.81,39,39,1.86,BR,1697492892
72,zvezdnyy,57.7325,56.3147,10.33,71,4,4.81,RU,1697492892
73,birjand,32.8663,59.2211,12.26,26,0,5.14,IR,1697492892
74,pagar alam,-4.0167,103.2667,19.53,65,30,1.13,ID,1697492893
75,avarua,-21.2078,-159.775,23.03,60,75,6.69,CK,1697492893
76,phan thiet,10.9333,108.1,25.06,89,98,2.33,VN,1697492893
77,hami,42.8,93.45,10.49,44,100,3.03,CN,1697492893
78,zhezqazghan,47.7833,67.7667,8.36,52,0,3.94,KZ,1697492893
79,praia da vitoria,38.7333,-27.0667,20.42,83,75,6.51,PT,1697492604
80,kitimat,54.0524,-128.6534,12.21,62,100,0.7,CA,1697492894
81,anlu,31.1661,112.5831,17.7,54,0,1.72,CN,1697492894
82,sao joao da barra,-21.6403,-41.0511,25.05,91,10,6.05,BR,1697492894
83,samfya,-11.3649,29.5565,25.96,52,100,2.44,ZM,1697492894
84,candelaria,13.9311,121.4233,23.96,95,96,1.57,PH,1697492894
85,nuuk,64.1835,-51.7216,-2.66,63,20,6.17,GL,1697492895
86,utrik,11.2278,169.8474,28.42,76,38,7.52,MH,1697492895
87,khandyga,62.6667,135.6,-15.94,71,43,1.98,RU,1697492895
88,mutoko,-17.397,32.2268,19.09,79,100,2.24,ZW,1697492846
89,san patricio,28.017,-97.5169,24.92,32,0,5.35,US,1697492895
90,okha,53.5739,142.9478,6.85,90,97,6.38,RU,1697492896
91,bafq,31.6128,55.4107,22.95,21,12,2.79,IR,1697492896
92,el matama,16.7095,33.3565,32.34,14,20,6.72,SD,1697492896
93,constitucion,-35.3333,-72.4167,14.05,67,3,6.63,CL,1697492854
94,west island,-12.1568,96.8225,25.99,83,75,6.17,CC,1697492896
95,longyearbyen,78.2186,15.6401,-3.09,54,20,4.63,SJ,1697492896
96,gua musang,4.8823,101.9644,23.22,99,98,0.47,MY,1697492897
97,tsiombe,-25.3,45.4833,21.22,78,100,1.48,MG,1697492897
98,pacific grove,36.6177,-121.9166,26.88,65,0,3.6,US,1697492897
99,tura,25.5198,90.2201,19.74,90,0,1.64,IN,1697492897
100,saint-joseph,-21.3667,55.6167,23.21,86,75,0.98,RE,1697492898
101,extremoz,-5.7056,-35.3072,26.25,73,20,3.6,BR,1697492820
102,kingston,17.997,-76.7936,31.53,76,20,4.12,JM,1697492898
103,hell-ville,-13.4,48.2667,25.93,75,51,3.37,MG,1697492898
104,jumla,29.2747,82.1838,8.49,76,100,1.8,NP,1697492898
105,desna,50.9273,30.7605,4.36,77,14,7.52,UA,1697492899
106,timiryazevskoye,56.49,84.8769,6.79,96,100,5.32,RU,1697492899
107,forbes,-33.3833,148.0167,11.91,44,0,5.21,AU,1697492899
108,olonkinbyen,70.9221,-8.7187,0.8,74,100,5.34,SJ,1697492899
109,acarau,-2.8856,-40.12,26.14,77,4,7.06,BR,1697492899
110,iskateley,67.6803,53.1512,3.9,93,100,5.81,RU,1697492900
111,port alfred,-33.5906,26.891,16.21,90,82,0.45,ZA,1697492900
112,ankang,32.68,109.0172,17.67,74,81,1.23,CN,1697492815
113,ust-nera,64.5667,143.2,-22.1,98,62,1.21,RU,1697492900
114,anadyr,64.75,177.4833,-1.72,79,20,4.0,RU,1697492900
115,barrie,44.4001,-79.6663,9.96,79,41,4.12,CA,1697492730
116,ust'-ilimsk,58.0006,102.6619,1.36,92,100,3.58,RU,1697492901
117,okhotsk,59.3833,143.3,-5.49,70,48,9.63,RU,1697492901
118,port mathurin,-19.6833,63.4167,23.88,86,1,3.84,MU,1697492901
119,peace river,56.2501,-117.286,15.17,54,75,4.12,CA,1697492902
120,port elizabeth,-33.918,25.5701,17.4,91,75,3.6,ZA,1697492902
121,cascais,38.6979,-9.4215,23.06,95,77,10.28,PT,1697492902
122,aldan,58.6031,125.3894,-4.33,70,100,1.79,RU,1697492902
123,tokar,18.4254,37.729,29.22,69,64,4.8,SD,1697492903
124,east london,-33.0153,27.9116,17.05,82,72,6.15,ZA,1697492662
125,nouadhibou,20.931,-17.0347,27.99,42,100,6.17,MR,1697492903
